"","species","mean_wal_score"
"256","Aeschynomene_indica",0.114209642301712
"257","Aeschynomene_lateritia",0.0814175824175825
"258","Aeschynomene_mimosifolia",0.231294117647059
"259","Aeschynomene_minutiflora",0.263628571428571
"260","Aeschynomene_nilotica",0.133583333333333
"261","Aeschynomene_nodulosa",0.25255737704918
"262","Aeschynomene_nyassana",0.239891891891892
"263","Aeschynomene_pratensis",0.174826446280992
"264","Aeschynomene_rehmannii",0.0426190476190476
"265","Aeschynomene_rudis",0.218617940199336
"266","Aeschynomene_scabra",0.15945652173913
"267","Aeschynomene_schimperi",0.180894736842105
"268","Aeschynomene_schliebenii",0.240363636363636
"269","Aeschynomene_sensitiva",0.191653194263364
"270","Aeschynomene_tambacoundensis",0.0489152542372881
"271","Aeschynomene_uniflora",0.125119402985075
"272","Aeschynomene_virginica",0.0578787878787879
"273","Afzelia_rhomboidea",0.712292682926829
"274","Aganope_gabonica",0.0879583333333333
"275","Albizia_adinocephala",0.106890995260664
"276","Albizia_amara",0.281522388059702
"277","Albizia_anthelmintica",0.141427184466019
"278","Albizia_antunesiana",0.221549180327869
"279","Albizia_brevifolia",0.179025641025641
"280","Albizia_carbonaria",0.740891615541922
"281","Albizia_chevalieri",0.072433962264151
"282","Albizia_chinensis",0.409966417910448
"283","Albizia_coriaria",0.187790476190476
"284","Albizia_edwallii",0.104671875
"285","Albizia_forbesii",0.159064516129032
"286","Albizia_gummifera",0.19737084398977
"287","Albizia_harveyi",0.145146953405018
"288","Albizia_inundata",0.0761363636363636
"289","Albizia_julibrissin",0.100548645660587
"290","Albizia_kalkora",0.442311546840959
"291","Albizia_lebbeck",0.209317084713677
"292","Albizia_lebbekoides",0.407117647058824
"293","Albizia_lucidior",0.597377551020408
"294","Albizia_multiflora",0.401714285714286
"295","Albizia_niopoides",0.461406323185012
"296","Albizia_odoratissima",0.534656050955414
"297","Albizia_petersiana",0.186333333333333
"298","Albizia_polycephala",0.115227777777778
"299","Albizia_procera",0.229041543026706
"300","Albizia_retusa",0.241303571428571
"301","Albizia_saponaria",0.422482142857143
