"","species","intrdcd.x","mean_wal_score"
"297","Aeschynomene_mimosifolia",0,0.231294117647059
"298","Aeschynomene_minutiflora",0,0.263628571428571
"299","Aeschynomene_nilotica",0,0.133583333333333
"300","Aeschynomene_nodulosa",0,0.25255737704918
"301","Aeschynomene_nyassana",0,0.239891891891892
"302","Aeschynomene_pratensis",0,0.174826446280992
"303","Aeschynomene_rehmannii",0,0.0426190476190476
"304","Aeschynomene_rudis",0,0.221638513513513
"305","Aeschynomene_rudis",1,0.0398
"306","Aeschynomene_scabra",0,0.15945652173913
"307","Aeschynomene_schimperi",0,0.180324324324324
"308","Aeschynomene_schimperi",1,0.202
"309","Aeschynomene_schliebenii",0,0.240363636363636
"310","Aeschynomene_sensitiva",0,0.192033986928105
"311","Aeschynomene_sensitiva",1,0.046
"312","Aeschynomene_tambacoundensis",0,0.0489152542372881
"313","Aeschynomene_uniflora",0,0.125796992481203
"314","Aeschynomene_uniflora",1,0.035
"315","Aeschynomene_virginica",0,0.0605
"316","Aeschynomene_virginica",1,0.0554117647058824
"317","Afzelia_rhomboidea",0,0.712292682926829
"318","Aganope_gabonica",0,0.0879583333333333
"319","Albizia_adinocephala",0,0.106890995260664
"320","Albizia_amara",0,0.281522388059702
"321","Albizia_anthelmintica",0,0.141427184466019
"322","Albizia_antunesiana",0,0.221549180327869
"323","Albizia_brevifolia",0,0.179025641025641
"324","Albizia_carbonaria",0,0.777706401766004
"325","Albizia_carbonaria",1,0.277638888888889
"326","Albizia_chevalieri",0,0.072433962264151
"327","Albizia_chinensis",0,0.483661971830986
"328","Albizia_chinensis",1,0.124563636363636
"329","Albizia_coriaria",0,0.187790476190476
"330","Albizia_edwallii",0,0.104671875
"331","Albizia_forbesii",0,0.159064516129032
"332","Albizia_gummifera",0,0.19737084398977
"333","Albizia_harveyi",0,0.145146953405018
"334","Albizia_inundata",0,0.0761363636363636
"335","Albizia_julibrissin",0,0.180573556797019
"336","Albizia_julibrissin",1,0.0667645440251575
"337","Albizia_kalkora",0,0.442311546840959
"338","Albizia_lebbeck",0,0.680455882352941
"339","Albizia_lebbeck",1,0.139708310700706
"340","Albizia_lebbekoides",0,0.407117647058824
"341","Albizia_lucidior",0,0.597377551020408
"342","Albizia_multiflora",0,0.401714285714286
"343","Albizia_niopoides",0,0.461909730363424
"344","Albizia_niopoides",1,0.032
"345","Albizia_odoratissima",0,0.54762
"346","Albizia_odoratissima",1,0.256857142857143
"347","Albizia_petersiana",0,0.186333333333333
"348","Albizia_polycephala",0,0.115227777777778
"349","Albizia_procera",0,0.259006993006993
"350","Albizia_procera",1,0.061
"351","Albizia_retusa",0,0.241303571428571
"352","Albizia_saponaria",0,0.422482142857143
"353","Albizia_schimperiana",0,0.200525423728814
"354","Albizia_subdimidiata",0,0.3168671875
"355","Albizia_tanganyicensis",0,0.15728125
"356","Albizia_versicolor",0,0.158990566037736
"357","Aldina_heterophylla",0,0.125
"358","Aldina_latifolia",0,0.366073684210526
"359","Alexa_grandiflora",0,0.125
"360","Alexa_imperatricis",0,0.153
"361","Alhagi_maurorum",0,0.22860775862069
"362","Alhagi_maurorum",1,0.0291315789473684
"363","Almaleea_paludosa",0,0.0322091503267974
"364","Alysicarpus_bupleurifolius",0,0.408035714285714
"365","Alysicarpus_bupleurifolius",1,0.048
"366","Alysicarpus_glumaceus",0,0.111426195426195
"367","Alysicarpus_monilifer",0,0.579969230769231
"368","Alysicarpus_monilifer",1,0.128666666666667
"369","Alysicarpus_ovalifolius",0,0.0736462945139556
"370","Alysicarpus_ovalifolius",1,0.0443171296296296
"371","Alysicarpus_rugosus",0,0.133243276283618
