Species count,Family,Genus,Species,Common Name,Plant Type,Geographic Location,Nectary Location,Ecological Study,Reference,Notes,genus species,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,javanica,,shrub,East/Southeast Asia,"stipules, leaf margin",,Kern and van Steenis 1958; Pemberton 1998,,Sambucus javanica,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,latipinna,,,,stipules,,Pemberton 1990,,Sambucus latipinna,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,microbotrys,,,,,,Zimmermann 1932,,Sambucus microbotrys,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,nigra (niger),elderberry,,,leaves and leaflets,,"Zimmermann 1932; Springensguth 1935; Fahn 1987; Offenberg 2000; Ponessa and Parrado 2001; Mizell 2004; Vesprini, Pacini and Nepi, 2012; Pattrick 2012 ",photos Ponessa and Parraod 2001; photos online Mizell 2004,Sambucus nigra (niger),,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,pubens,,,,,,Kern and van Steenis 1958,photo online Curtis et al. 2002,Sambucus pubens,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,racemosa,,,,stipules,,Zimmermann 1932; Pemberton 1998; Offenberg 2000,,Sambucus racemosa,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,siebolidana,,,,stipules,,Pemberton 1990,,Sambucus siebolidana,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,williamsii,,,,stipules,,Pemberton 1990,,Sambucus williamsii,,,,,,,,,,,,,,,,
,Adoxaceae,Sambucus,nigra,,shrub,Europe,base of leaves and leaflets,,Sagpalme 2012,,Sambucus nigra,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,beccarii,,sprawling or climbing small tree,Malay Penninsula,"leaf underside minutely gland-dotted, a distinct glandular pit at base,both sides of the midrib, often smaller gland on nerve-axis",,Kern and van Steenis 1958,,Viburnum beccarii,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,boninensis,,,Bonin Islands,leaf teeth,,Pemberton 1998,,Viburnum boninensis,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,clemensae,,tree,Philippines,leaf axil,,Kern and van Steenis 1958,,Viburnum clemensae,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,cornutidens,,tree,Borneo,leaf underside glandular-pitted,,Kern and van Steenis 1958,,Viburnum cornutidens,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,costaricanum,,Tree,Costa Rica,leaf margin,,"Zamora et al, 2004",,Viburnum costaricanum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,dentatum,,,,marginal EFN,,Weber et al. 2012,,Viburnum dentatum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,dilatatum,,,,leaf blade underside; laminar EFN,,Pemberton 1990; Weber et al. 2012,,Viburnum dilatatum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,edule,,,Northeast Asia,"leaf blade, petiole; petiole-laminar-junction EFN",,Pemberton 1998; Weber et al. 2012,,Viburnum edule,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,erosum,,,,leaf blade underside,,Pemberton 1990,,Viburnum erosum,,,,,,,,,,,,,,,,
