"","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","median_long","quant95","quant005","num_biome","biome","precip_range","temp_range","nitro_range","genus","fixer","woody","annual","uses_num_uses","Domatia","EFN","abs_med_lat"
"442","Onobrychis_pallasii",63,588.85,447.95,514.833333333333,504.5,267.55,177.2,212.903846153846,204.5,12.1218750476837,9.29854173660278,11.0793750286102,11.2041668891906,45.106731,36.49667,44.692232031746,44.811891,34.020538,45.0124,44.6155549,3,"4",140.9,2.82333331108091,90.3499999999999,"Onobrychis",1,0,0,1,0,0,44.811891
"443","Onobrychis_humilis",659,757.2,375.8,533.409436834094,520,216,102,150.495881383855,145,17.279167175293,11.2541666030884,14.61510024078,14.9166669845581,43.1922,29.55,39.1159848432473,38.8888073,-4.39,42.37380402,36.47,3,"12",381.4,6.02500057220458,114,"Onobrychis",1,0,0,0,0,0,38.8888073
"444","Onobrychis_transcaucasica",33,765.2,395,528.212121212121,508,330,200,263.451612903226,269,12.189999961853,4.52499990463257,8.22196972008907,7.95416641235352,44.827331,37.416667,40.3780351515151,40.38389,44.94333,41.6540402,38.9855628,2,"4",370.2,7.66500005722047,130,"Onobrychis",1,0,0,2,0,0,40.38389
"445","Onobrychis_arenaria",2998,1079.2,363.6,643.151687270297,591,477,173.85,292.760485651214,280,12.1725002288819,-0.603333377838135,6.53722156583164,7.77083349227905,63.232,31.5978,49.5311329029353,49.845,30.068247,55.86204,43.21077895,7,"4",715.6,12.77583360672,303.15,"Onobrychis",1,0,0,0,0,0,49.845
"446","Onobrychis_conferta",1199,998.1,371.9,591.871559633028,528,344.75,118,194.101180438449,172,15.2129163742065,7.80958323478699,11.2508131825397,11.0541667938232,48.35965,31.285,40.9069693783153,40.66,-0.78,42.9500001,38.64,3,"12",626.2,7.40333313941956,226.75,"Onobrychis",1,0,0,0,0,0,40.66
"447","Onobrychis_cyri",81,1168.7,296.3,594.544303797468,542,507.75,145.35,281.8,248,13.517082977295,3.01666669845581,9.05174051734466,9.31666660308838,59.25,30.57,43.2470385617284,42.855896,43.111647,52.912235,38.845196,4,"4",872.399999999999,10.5004162788391,362.4,"Onobrychis",1,0,0,1,0,0,42.855896
"448","Onobrychis_biebersteinii",71,1376.5,511.5,939.577464788732,992,639.35,258.75,448.327586206897,439.5,10.5062499046326,0.327083341777325,4.6968309793254,4.47499990463257,45.843231,39.820931,42.9446770140845,43.0989,43.453159,44.0412695,40.505381,3,"4",865,10.1791665628552,380.6,"Onobrychis",1,0,0,2,0,0,43.0989
"449","Onobrychis_viciifolia",26470,1346,510,847.982767091191,793,546,162,304.519334684228,276,12.5,4.15000009536743,8.74325076119908,8.95416641235352,68.172103,-43.639657,48.0975169892935,48.255005,7.471145,52.55736655,42.80088785,9,"4",836,8.34999990463257,384,"Onobrychis",1,0,0,2,0,0,48.255005
"450","Onobrychis_cornuta",143,842.5,212.6,473.041958041958,481,326.25,157.75,248.992647058824,252,14.529166507721,3.14500000476837,7.99522143977505,7.89583349227905,43.029198,28.816667,38.6820507762238,39.520096,46.824708,42.9655493,32.9462807,6,"8",629.9,11.3841665029526,168.5,"Onobrychis",1,1,0,2,0,0,39.520096
"451","Onobrychis_petraea",43,1248.6,487,762.744186046512,702,518.4,243.2,374.648648648649,370,12.0979166984558,1.45458326339722,6.39118217174397,6.57499980926514,44.83528,28.85,42.6016025348837,43.229382,43.023319,44.402113,41.3841209,4,"4",761.6,10.6433334350586,275.2,"Onobrychis",1,0,0,1,0,0,43.229382
